date,open,high,low,close,adj close,volume
2020-12-30,76.000000,79.360001,74.320000,76.500000,76.500000,1625800
2020-12-31,76.769997,77.839996,69.199997,70.110001,70.110001,2381500
2021-01-04,71.300003,73.500000,68.580002,71.589996,71.589996,2138100
2021-01-05,71.040001,76.889999,70.599998,76.839996,76.839996,1523600
2021-01-06,75.000000,86.339996,74.419998,80.540001,80.540001,2783600
2021-01-07,81.959999,90.629997,81.250000,89.660004,89.660004,2743300
2021-01-08,90.589996,99.949997,86.190002,90.580002,90.580002,4016500
2021-01-11,87.010002,88.000000,75.050003,76.940002,76.940002,5062900
2021-01-12,78.269997,81.779999,74.500000,75.000000,75.000000,2623600
2021-01-13,75.250000,76.949997,72.690002,73.300003,73.300003,2417600
2021-01-14,73.629997,76.949997,72.970001,75.919998,75.919998,2509200
2021-01-15,76.489998,83.949997,76.040001,76.139999,76.139999,4303500
