date,open,high,low,close,adj close,volume
2020-12-30,141.119995,147.880005,140.000000,147.149994,147.149994,489200
2020-12-31,152.130005,155.089996,139.000000,141.289993,141.289993,561700
2021-01-04,138.610001,141.919998,129.339996,132.929993,132.929993,701100
2021-01-05,132.929993,138.720001,131.669998,138.500000,138.500000,545400
2021-01-06,139.610001,145.600006,137.699997,143.419998,143.419998,448000
2021-01-07,151.009995,157.679993,148.399994,156.970001,156.970001,819500
2021-01-08,159.410004,174.479996,159.410004,166.509995,166.509995,884000
2021-01-11,162.479996,175.600006,156.490005,170.309998,170.309998,1086400
2021-01-12,170.399994,173.479996,159.309998,162.839996,162.839996,630500
2021-01-13,164.500000,172.940002,159.550003,168.410004,168.410004,492900
2021-01-14,169.000000,189.679993,168.970001,189.429993,189.429993,969000
2021-01-15,188.149994,196.479996,178.179993,181.350006,181.350006,897800
