date,open,high,low,close,adj close,volume
2020-12-30,178.300003,183.410004,176.119995,183.179993,183.179993,2125600
2020-12-31,183.130005,183.380005,175.800003,177.910004,177.910004,2072700
2021-01-04,179.520004,181.600006,168.251999,172.080002,172.080002,3262000
2021-01-05,170.190002,175.770004,169.061996,174.979996,174.979996,2168200
2021-01-06,172.110001,173.160004,166.330002,167.570007,167.570007,2966000
2021-01-07,170.300003,173.500000,167.250000,170.789993,170.789993,2785200
2021-01-08,172.910004,179.729996,171.759995,175.649994,175.649994,2470400
2021-01-11,174.100006,187.759995,171.020004,183.039993,183.039993,3821000
2021-01-12,185.059998,211.850006,184.750000,205.149994,205.149994,9358300
2021-01-13,204.610001,209.039993,200.869995,207.029999,207.029999,2925000
2021-01-14,207.250000,221.119995,207.000000,211.520004,211.520004,5038600
2021-01-15,211.210007,211.990005,197.160004,204.419998,204.419998,3599700
