date,open,high,low,close,adj close,volume
2020-12-30,135.580002,135.990005,133.399994,133.720001,133.720001,96452100
2020-12-31,134.080002,134.740005,131.720001,132.690002,132.690002,98990400
2021-01-04,133.520004,133.610001,126.760002,129.410004,129.410004,143301900
2021-01-05,128.889999,131.740005,128.429993,131.009995,131.009995,97664900
2021-01-06,127.720001,131.050003,126.379997,126.599998,126.599998,155088000
2021-01-07,128.360001,131.630005,127.860001,130.919998,130.919998,109578200
2021-01-08,132.429993,132.630005,130.229996,132.050003,132.050003,105158200
2021-01-11,129.190002,130.169998,128.500000,128.979996,128.979996,100620900
2021-01-12,128.500000,129.690002,126.860001,128.800003,128.800003,91951100
2021-01-13,128.759995,131.449997,128.490005,130.889999,130.889999,88636800
2021-01-14,130.800003,131.000000,128.759995,128.910004,128.910004,90221800
2021-01-15,128.779999,130.220001,127.000000,127.139999,127.139999,111235300
