date,open,high,low,close,adj close,volume
2020-12-30,74.430000,77.878998,68.010002,71.849998,71.849998,155200
2020-12-31,71.839996,71.839996,60.000000,62.000000,62.000000,288300
2021-01-04,62.480000,62.779999,59.450001,61.630001,61.630001,200800
2021-01-05,61.990002,64.339996,59.520000,62.490002,62.490002,190100
2021-01-06,63.380001,67.059998,61.009998,66.430000,66.430000,123900
2021-01-07,67.580002,73.900002,66.043999,73.309998,73.309998,202400
2021-01-08,74.629997,83.025002,72.260002,77.150002,77.150002,311000
2021-01-11,76.739998,81.089996,75.000000,76.519997,76.519997,168100
2021-01-12,76.239998,77.519997,71.675003,77.029999,77.029999,114800
2021-01-13,76.550003,84.660004,76.550003,79.599998,79.599998,159700
2021-01-14,79.580002,87.849998,79.580002,81.300003,81.300003,157600
2021-01-15,80.989998,84.565002,76.400002,77.510002,77.510002,79200
