date,open,high,low,close,adj close,volume
2020-12-30,133.669998,135.779999,132.850006,135.399994,135.399994,898000
2020-12-31,135.779999,136.270004,132.259995,132.490005,132.490005,742100
2021-01-04,128.199997,131.779999,126.209999,128.770004,128.770004,1211100
2021-01-05,129.899994,130.429993,125.139999,126.879997,126.879997,1541000
2021-01-06,125.739998,127.050003,122.559998,124.279999,124.279999,1769600
2021-01-07,124.599998,131.190002,124.010002,130.699997,130.699997,1926200
2021-01-08,129.660004,133.720001,129.039993,131.100006,131.100006,1540200
2021-01-11,132.929993,152.479996,132.490005,144.000000,144.000000,5769100
2021-01-12,146.440002,152.679993,145.500000,148.419998,148.419998,2241500
2021-01-13,148.149994,148.460007,142.429993,145.369995,145.369995,1672500
2021-01-14,146.119995,149.869995,144.520004,147.289993,147.289993,1339700
2021-01-15,148.520004,149.600006,142.330002,145.970001,145.970001,1528400
