date,open,high,low,close,adj close,volume
2020-12-30,62.150002,62.209999,61.450001,61.529999,61.529999,1084800
2020-12-31,61.529999,62.290001,61.330002,62.230000,62.230000,1813100
2021-01-04,62.020000,62.209999,60.950001,61.450001,61.450001,3158800
2021-01-05,61.490002,61.970001,61.259998,61.799999,61.799999,1630000
2021-01-06,61.200001,61.750000,60.889999,61.320000,61.320000,2595700
2021-01-07,61.540001,61.660000,60.770000,60.889999,60.889999,2517900
2021-01-08,60.919998,61.400002,59.509998,60.200001,60.200001,3503900
2021-01-11,60.410000,60.619999,59.279999,59.369999,59.369999,2941400
2021-01-12,59.500000,59.529999,57.849998,58.560001,58.560001,3021200
2021-01-13,58.730000,59.599998,58.250000,59.139999,59.139999,2350400
2021-01-14,59.490002,59.490002,58.740002,59.049999,59.049999,5630900
2021-01-15,59.220001,59.599998,58.509998,59.029999,59.029999,5053900
