date,open,high,low,close,adj close,volume
2020-12-30,27.969999,28.360001,27.900000,28.290001,28.290001,5452700
2020-12-31,28.639999,28.639999,28.030001,28.240000,28.240000,4215800
2021-01-04,29.070000,29.219999,28.280001,28.680000,28.680000,9237800
2021-01-05,28.770000,29.459999,28.750000,29.290001,29.290001,10744800
2021-01-06,30.610001,32.169998,30.420000,31.400000,31.400000,21173200
2021-01-07,32.970001,33.790001,32.619999,33.410000,33.410000,22989400
2021-01-08,34.150002,34.250000,32.630001,33.160000,33.160000,17693900
2021-01-11,31.680000,32.349998,31.129999,32.040001,32.040001,13518600
2021-01-12,32.419998,32.470001,31.700001,32.430000,32.430000,11013300
2021-01-13,32.840000,32.840000,31.969999,32.590000,32.590000,9705300
2021-01-14,32.259998,32.599998,32.049999,32.299999,32.299999,9184200
2021-01-15,31.459999,31.570000,30.270000,30.559999,30.559999,12294600
