date,open,high,low,close,adj close,volume
2020-12-30,202.000000,204.789993,199.500000,203.570007,203.570007,1633100
2020-12-31,202.960007,203.244995,195.559998,199.960007,199.960007,1921000
2021-01-04,199.800003,200.630005,192.000000,200.630005,200.630005,2552800
2021-01-05,200.009995,202.800003,198.160004,200.970001,200.970001,2086200
2021-01-06,199.164993,210.240005,197.000000,204.149994,204.149994,3629300
2021-01-07,209.000000,229.070007,208.369995,228.779999,228.779999,5913100
2021-01-08,227.300003,236.660004,221.960007,227.779999,227.779999,4235000
2021-01-11,227.315002,229.039993,219.000000,220.860001,220.860001,2462500
2021-01-12,225.910004,233.139999,223.729996,230.089996,230.089996,2752300
2021-01-13,231.000000,235.000000,225.630005,231.789993,231.789993,1834300
2021-01-14,226.300003,229.000000,221.300003,225.539993,225.539993,2755000
2021-01-15,228.000000,230.830002,222.600006,225.250000,225.250000,2334200
