date,open,high,low,close,adj close,volume
2020-12-30,178.500000,183.399994,178.369995,181.169998,181.169998,11680400
2020-12-31,181.220001,183.399994,180.270004,181.179993,181.179993,7071300
2021-01-04,182.259995,182.589996,174.729996,177.679993,177.679993,13426600
2021-01-05,176.199997,180.339996,176.199997,178.440002,178.440002,7771800
2021-01-06,178.320007,181.610001,177.279999,179.119995,179.119995,7517800
2021-01-07,179.500000,179.949997,177.580002,178.580002,178.580002,7300800
2021-01-08,178.809998,180.020004,176.600006,178.690002,178.690002,7894500
2021-01-11,177.750000,181.259995,177.350006,179.089996,179.089996,6464100
2021-01-12,177.300003,178.320007,174.860001,175.990005,175.990005,8349800
2021-01-13,174.399994,177.729996,173.740005,176.119995,176.119995,6839500
2021-01-14,177.009995,178.350006,173.399994,173.429993,173.429993,8951200
2021-01-15,172.949997,174.190002,170.169998,171.440002,171.440002,12228500
